iter	Logloss
0	0.6231732344
50	0.008992582566
100	0.002143881299
150	0.001433649343
200	0.001198129956
250	0.001038155347
300	0.000913958166
350	0.0007996829899
400	0.0006996756168
450	0.0006078781147
499	0.0005351183912
